Year Installed,Month Installed,Object ID,Address,Location,Street,Placement,Number of Racks,Number of Spaces,Last Edited Date,Geom
2013,6,727,2831 MISSION ST,Ratio 3 Gallery,Mission,SIDEWALK,1,2,,"(37.7517309483, -122.418013009)"
2006,0,728,2832 MISSION ST,Rosamunde Sausage Catering,MISSION,SIDEWALK,1,2,,"(37.751517948, -122.418755009)"
2006,0,729,2886 MISSION ST,Nueva Libreria Mexico,MISSION,SIDEWALK,1,2,,"(37.7507959482, -122.418649009)"
2003,0,730,2889 MISSION ST,La Taqueria,MISSION,SIDEWALK,1,2,,"(37.7508839481, -122.418055009)"
2013,9,731,2420 SUTTER ST,UCSF Mount Zion,SUTTER,SIDEWALK,1,2,,"(37.7854429483, -122.440590008)"
2013,9,732,2450 SUTTER ST,Russian Center of San Francsico,SUTTER,SIDEWALK,1,2,,"(37.7854019479, -122.440916009)"
2013,9,733,2498 SUTTER ST,Stewart's Market,SUTTER,SIDEWALK,1,2,,"(37.7852584482, -122.441417208)"
2013,5,734,380 GUERRERO ST,Orange,GUERRERO,SIDEWALK,1,2,,"(37.7651699476, -122.424437008)"
2013,7,735,1111 OFARRELL ST,Urban Life Center,O'FARRELL,SIDEWALK,1,2,,"(37.7842491876, -122.423286508)"
2013,11,736,5300 03RD ST,Walgreens,03RD ST,SIDEWALK,1,2,,"(37.7290059478, -122.393266008)"
0,0,737,2111 LANE ST,US Post Office,LANE,SIDEWALK,1,2,,"(37.7287879483, -122.392295009)"
2013,9,738,333 VALENCIA ST,The Fog Building,VALENCIA,SIDEWALK,1,2,,"(37.7676849078, -122.421690009)"
2013,8,739,1901 SAN JOSE AVE,Roxie Food Center,SAN JOSE,SIDEWALK,1,2,,"(37.7266816682, -122.441217309)"
2013,7,740,519 POWELL ST,Cozy Cable Car Cafe,POWELL,SIDEWALK,2,4,,"(37.7894392075, -122.408892809)"
2013,8,741,705 MONTEREY BLVD,Railroad Espresso,Monterey,SIDEWALK,2,4,,"(37.7312579474, -122.451334009)"
2013,6,742,670 TEXAS ST,Centered Body Pilates,TEXAS ST,SIDEWALK,2,4,,"(37.7579169483, -122.395476009)"
2013,9,743,4298 24TH ST,Philz Coffee,24TH ST,SIDEWALK,1,2,,"(37.7512639481, -122.438257008)"
2010,0,744,2901 MISSION ST,Mission Pie,MISSION,SIDEWALK,1,2,,"(37.7505379478, -122.417935008)"
2003,0,745,2909 MISSION ST,Casa Guadalupe,MISSION,SIDEWALK,1,2,,"(37.7504479478, -122.417927009)"
